vendorID,lpepPickupDatetime,passengerCount,tripDistance,pickupLongitude,pickupLatitude,dropoffLongitude,dropoffLatitude,totalAmount
2,1420152258,1,0.64,-73.94185638,40.79852676,-73.94848633,40.79195786,5.3
2,1420152316,1,0.56,-73.920578,40.81690598,-73.91891479,40.82303238,5.3
2,1420152238,2,1.03,-73.93624878,40.80609131,-73.93264771,40.79587173,6.8
2,1420151225,1,4.9,-73.909935,40.76970291,-73.9757843,40.75496674,19.3
2,1420151997,1,1.78,-73.91912079,40.75892258,-73.9161377,40.74195862,11.6
2,1420151981,1,1.64,-73.93274689,40.79582214,-73.95756531,40.80117035,9.3
2,1420150625,1,7.17,-73.95748901,40.74494553,-73.95897675,40.80222702,33.2
2,1420151879,5,2.54,-73.92224121,40.82742691,-73.90151215,40.85647964,11.3
2,1420151068,1,14.27,-73.98288727,40.64263535,-73.92094421,40.75653839,48.2
2,1420152053,1,3.47,-73.93898773,40.81653214,-73.93776703,40.85232544,13.3
2,1420152189,2,1.03,-73.91357422,40.75641632,-73.92466736,40.76428223,7.3
2,1420152378,1,0.66,-73.9553299,40.82020187,-73.94895935,40.82838821,5.8
2,1420150557,1,4.05,-73.9830246,40.69949341,-73.98706818,40.74521637,17.8
2,1420151797,1,6.34,-73.94422913,40.83525085,-73.9806366,40.7653389,23.8
2,1420151968,1,5.66,-73.93954468,40.8300705,-73.8855896,40.8340416,17.8
2,1420152463,1,0.41,-73.80797577,40.70013046,-73.80473328,40.69483185,5.8
2,1420151963,1,2.52,-73.95097351,40.81047058,-73.9197464,40.81973648,11.3
2,1420152042,5,2,-73.94992065,40.71031189,-73.94905853,40.68490219,10.3
2,1420151593,1,7.01,-73.95001984,40.80213928,-73.98140717,40.72513962,27.8
2,1420152152,1,1.35,-73.94610596,40.70320129,-73.96521759,40.70885086,8.3
2,1420151534,1,4.4,-73.95587158,40.71954727,-74.00932312,40.70648575,20.3
2,1420152357,1,0.8,-73.91116333,40.7758255,-73.91484833,40.77905655,5.8
2,1420151779,1,3.65,-73.81608582,40.75539017,-73.84860229,40.78463364,14.3
2,1420152399,1,0.6,-73.91512299,40.76385498,-73.90675354,40.76005173,5.8
2,1420151569,5,7,-73.99465942,40.7037735,-73.97312164,40.75693512,22.8
2,1420151937,1,4.36,-73.95111847,40.81232834,-73.91578674,40.86861801,18.3
2,1420152344,1,1.1,-73.95121765,40.80997086,-73.93806458,40.81628036,9.3
2,1420152253,1,1.28,-73.89061737,40.74702072,-73.90972137,40.74756241,7.8
2,1420150821,1,7.09,-73.88978577,40.63120651,-73.95449829,40.68089676,26.8
2,1420152171,1,1.63,-73.97306824,40.67764282,-73.9886322,40.69609833,10.8
2,1420152128,1,1.5,-73.9385376,40.70401382,-73.93104553,40.6929512,9.3
2,1420152439,1,0.87,-73.86273193,40.74980164,-73.87617493,40.74878311,6.3
2,1420151840,1,3.56,-73.95423889,40.67278671,-73.90685272,40.68825912,14.8
2,1420151515,5,5.83,-73.96412659,40.80304718,-73.99957275,40.74889755,25.8
2,1420152427,1,0.74,-73.97773743,40.68463135,-73.98401642,40.69077301,6.8
2,1420152392,1,1.56,-73.94049835,40.71195602,-73.91218567,40.71498108,9.8
2,1420152452,1,1.04,-73.92233276,40.76563263,-73.90964508,40.77542114,7.3
2,1420163079,1,4.77,-73.83192444,40.71514893,-73.77986145,40.73414612,18.8
2,1420162731,1,4.03,-73.91749573,40.84041214,-73.8614502,40.83779907,14.8
2,1420163134,1,1.41,-73.80722046,40.69965363,-73.78910065,40.70738602,8.8
2,1420162419,1,5.29,-73.92203522,40.76615143,-73.93980408,40.70119095,19.8
2,1420162490,1,5.43,-73.84430695,40.7215004,-73.89591217,40.70439148,19.3
2,1420163258,1,1.76,-73.94989014,40.80192947,-73.93925476,40.8217926,8.8
2,1420162714,1,8.82,-73.96380615,40.71054077,-73.93688202,40.79752731,32.3
2,1420163329,1,0.96,-73.89170074,40.74703979,-73.90569305,40.74870682,6.8
2,1420163530,1,1.14,-73.95650482,40.67484283,-73.94521332,40.66703033,7.95
2,1420163585,1,0.63,-73.91629791,40.77289581,-73.91267395,40.76679611,5.3
2,1420162899,1,6.12,-73.94573212,40.8075676,-73.94515228,40.74664307,19.3
2,1420163519,1,0.97,-73.9389267,40.81910706,-73.93772888,40.80976105,10.4
2,1420163189,1,3.38,-73.95721436,40.71774673,-73.98821259,40.69606781,17.68
2,1420162450,1,7.72,-73.96355438,40.71017838,-73.98423004,40.77503204,26.3
2,1420162153,1,13.32,-73.91322327,40.75622177,-73.79598236,40.66767502,40.8
2,1420163714,1,1.2,-73.84239197,40.84034348,-73.82250214,40.84302139,7.7
2,1420162226,1,13.37,-73.94790649,40.69480133,-73.88713074,40.81328201,40.3
2,1420163813,1,0.68,-73.91698456,40.77087021,-73.91371155,40.7773056,5.8
2,1420163390,1,2.69,-73.89102173,40.74695587,-73.854599,40.74287033,11.5
2,1420163722,1,1.55,-73.94324493,40.64468384,-73.93547821,40.62707901,7.8
2,1420163307,1,3.13,-73.96153259,40.71455002,-73.90834045,40.70914841,16.4
2,1420162675,1,7.56,-73.98154449,40.67950058,-73.93343353,40.7545433,31.8
2,1420163747,5,1.59,-73.96136475,40.71644592,-73.94194031,40.70820999,11.2
2,1420162658,1,4.57,-73.87604523,40.67217636,-73.93916321,40.67905426,37.3
2,1420163911,1,1.24,-73.96640015,40.80430222,-73.95471954,40.82036972,7.3
2,1420163862,1,1.47,-73.84427643,40.72131348,-73.82669067,40.72911072,8.3
2,1420162751,1,14.12,-73.89054871,40.74634171,-73.9626236,40.63586807,40.3
2,1420163316,1,4.29,-73.95746613,40.72227478,-73.91306305,40.74769592,16.8
2,1420163543,1,1.8,-73.88622284,40.73867798,-73.8604126,40.7358551,11.8
2,1420163275,1,5.85,-73.9577713,40.72250366,-73.97897339,40.67006683,25.18
2,1420163640,1,4.49,-73.91621399,40.86970139,-73.91713715,40.82851028,16.3
2,1420163971,1,4.69,-73.92880249,40.81227112,-73.86830902,40.82068253,15.3
2,1420163376,1,4.18,-73.95797729,40.72186279,-73.95787811,40.67096329,20.18
2,1420162176,1,11.95,-73.83340454,40.67321396,-73.84770966,40.66998291,25
2,1420163689,1,3.72,-73.95774078,40.72244644,-73.93003082,40.694767,16.3
2,1420140238,1,1.68,-73.89463806,40.74651718,-73.8692627,40.73488617,10.8
2,1420140244,1,3.89,-73.9369278,40.75985336,-73.96083069,40.71490479,14.8
2,1420140458,1,1.86,-73.93714905,40.81926727,-73.95413971,40.82136536,9
2,1420139788,1,4.99,-73.98609161,40.6696167,-73.95581818,40.71407318,20.8
2,1420139657,1,10.86,-73.9308548,40.8532486,-74.00244141,40.72479248,33.8
2,1420139851,1,4.54,-73.94749451,40.80519104,-73.98975372,40.75889969,18.8
2,1420140382,1,2.65,-73.96967316,40.69287491,-73.95397186,40.66295624,15.2
2,1420139113,1,9.57,-73.96261597,40.71953583,-73.98240662,40.71810532,33.3
2,1420139088,1,6.51,-73.97346497,40.67739487,-73.95643616,40.67499924,28.8
2,1420140268,1,2.83,-73.86399841,40.73319626,-73.8742981,40.7578125,14.3
2,1420140429,1,2.81,-73.87657928,40.74830627,-73.82737732,40.75724411,13.3
2,1420139872,3,10.57,-73.87797546,40.73663712,-73.79032898,40.64675522,39.8
2,1420140556,1,5.64,-73.98323822,40.69347763,-73.95859528,40.74353409,18.8
2,1420139838,2,7.9,-73.99863434,40.65972137,-73.95874023,40.72214508,32.6
2,1420140437,1,6.73,-73.99401093,40.70265198,-73.97975922,40.75587082,26
2,1420140188,1,4.53,-73.95822906,40.71744156,-73.92932892,40.68270111,21.8
2,1420139261,1,12.39,-73.84429169,40.72132874,-74.00077057,40.74729919,54.8
2,1420140252,1,4.69,-73.8839798,40.74752426,-73.94744873,40.76499176,18.3
2,1420140509,1,3.5,-73.96559906,40.68820953,-73.93334198,40.67446136,18.2
2,1420140313,1,6.11,-73.89239502,40.74716568,-73.95199585,40.7829628,21.3
2,1420140446,1,3,-73.9631958,40.64946747,-73.92076874,40.66199112,14.8
2,1420140406,1,7.58,-73.93386078,40.85390854,-73.84579468,40.84924698,26.3
2,1420140357,1,5.84,-73.94680786,40.6318512,-73.97605133,40.58072281,24.6
2,1420140425,1,4.76,-73.98497009,40.68948364,-73.92841339,40.65392685,19.3
2,1420140110,1,5.63,-73.90727234,40.76024628,-73.97758484,40.75814819,30.2
2,1420140364,5,8.35,-73.95404053,40.8063736,-74.0111618,40.71558762,32
2,1420140242,1,12.53,-73.91952515,40.86819077,-73.99777985,40.72264481,47
2,1420140496,1,6.32,-73.8911972,40.74901962,-73.86562347,40.68010712,23.3
